Size, Seq, Par, Libc
100, 0.000008, 0.002894, 0.000009
100, 0.000008, 0.002055, 0.000008
100, 0.000009, 0.002487, 0.000008
100, 0.000008, 0.002494, 0.000009
100, 0.000008, 0.002235, 0.000009
1000, 0.000103, 0.015560, 0.000107
1000, 0.000139, 0.013396, 0.000068
1000, 0.000101, 0.013986, 0.000108
1000, 0.000072, 0.013830, 0.000069
1000, 0.000099, 0.013790, 0.000107
10000, 0.000893, 0.024754, 0.000853
10000, 0.001079, 0.025105, 0.000913
10000, 0.000943, 0.023440, 0.000854
10000, 0.000976, 0.025877, 0.000847
10000, 0.000962, 0.025655, 0.000859
100000, 0.010753, 0.026732, 0.010696
100000, 0.010686, 0.027630, 0.010703
100000, 0.010614, 0.027929, 0.011094
100000, 0.010530, 0.028356, 0.010898
100000, 0.015369, 0.025546, 0.011323
1000000, 0.118249, 0.164154, 0.122310
1000000, 0.117357, 0.164701, 0.120151
1000000, 0.116119, 0.164358, 0.120703
1000000, 0.116821, 0.161218, 0.119962
1000000, 0.117143, 0.163642, 0.122721
