Size, Type, Time
100, "Sequential", 0.000009
100, "Parallel", 0.003352
100, "Built-in", 0.000008
100, "Sequential", 0.000008
100, "Parallel", 0.002900
100, "Built-in", 0.000008
100, "Sequential", 0.000008
100, "Parallel", 0.003439
100, "Built-in", 0.000008
100, "Sequential", 0.000006
100, "Parallel", 0.002448
100, "Built-in", 0.000006
100, "Sequential", 0.000008
100, "Parallel", 0.003246
100, "Built-in", 0.000009
1000, "Sequential", 0.000103
1000, "Parallel", 0.013615
1000, "Built-in", 0.000104
1000, "Sequential", 0.000101
1000, "Parallel", 0.014721
1000, "Built-in", 0.000107
1000, "Sequential", 0.000102
1000, "Parallel", 0.014738
1000, "Built-in", 0.000068
1000, "Sequential", 0.000103
1000, "Parallel", 0.015225
1000, "Built-in", 0.000105
1000, "Sequential", 0.000123
1000, "Parallel", 0.014304
1000, "Built-in", 0.000072
10000, "Sequential", 0.000896
10000, "Parallel", 0.025462
10000, "Built-in", 0.000847
10000, "Sequential", 0.000934
10000, "Parallel", 0.030953
10000, "Built-in", 0.001201
10000, "Sequential", 0.001030
10000, "Parallel", 0.024635
10000, "Built-in", 0.000898
10000, "Sequential", 0.001013
10000, "Parallel", 0.025022
10000, "Built-in", 0.000862
10000, "Sequential", 0.001207
10000, "Parallel", 0.026679
10000, "Built-in", 0.000852
100000, "Sequential", 0.010627
100000, "Parallel", 0.034254
100000, "Built-in", 0.010641
100000, "Sequential", 0.010362
100000, "Parallel", 0.032601
100000, "Built-in", 0.010697
100000, "Sequential", 0.012321
100000, "Parallel", 0.029923
100000, "Built-in", 0.010719
100000, "Sequential", 0.010316
100000, "Parallel", 0.029786
100000, "Built-in", 0.010587
100000, "Sequential", 0.011278
100000, "Parallel", 0.029667
100000, "Built-in", 0.010784
1000000, "Sequential", 0.116847
1000000, "Parallel", 0.155841
1000000, "Built-in", 0.120200
1000000, "Sequential", 0.116964
1000000, "Parallel", 0.159006
1000000, "Built-in", 0.119744
1000000, "Sequential", 0.119090
1000000, "Parallel", 0.159309
1000000, "Built-in", 0.120039
1000000, "Sequential", 0.117468
1000000, "Parallel", 0.141524
1000000, "Built-in", 0.119900
1000000, "Sequential", 0.119532
1000000, "Parallel", 0.158550
1000000, "Built-in", 0.121212
