Size, Seq, Par, Libc
100, 0.000009, 0.003352, 0.000008
100, 0.000008, 0.002900, 0.000008
100, 0.000008, 0.003439, 0.000008
100, 0.000006, 0.002448, 0.000006
100, 0.000008, 0.003246, 0.000009
1000, 0.000103, 0.013615, 0.000104
1000, 0.000101, 0.014721, 0.000107
1000, 0.000102, 0.014738, 0.000068
1000, 0.000103, 0.015225, 0.000105
1000, 0.000123, 0.014304, 0.000072
10000, 0.000896, 0.025462, 0.000847
10000, 0.000934, 0.030953, 0.001201
10000, 0.001030, 0.024635, 0.000898
10000, 0.001013, 0.025022, 0.000862
10000, 0.001207, 0.026679, 0.000852
100000, 0.010627, 0.034254, 0.010641
100000, 0.010362, 0.032601, 0.010697
100000, 0.012321, 0.029923, 0.010719
100000, 0.010316, 0.029786, 0.010587
100000, 0.011278, 0.029667, 0.010784
1000000, 0.116847, 0.155841, 0.120200
1000000, 0.116964, 0.159006, 0.119744
1000000, 0.119090, 0.159309, 0.120039
1000000, 0.117468, 0.141524, 0.119900
1000000, 0.119532, 0.158550, 0.121212
