Size, Seq, Par, Libc
100, 0.000018, 0.012145, 0.000021
100, 0.000019, 0.012331, 0.000021
100, 0.000018, 0.011518, 0.000019
100, 0.000020, 0.013219, 0.000022
100, 0.000018, 0.010905, 0.000019
1000, 0.000249, 0.053670, 0.000279
1000, 0.000251, 0.052894, 0.000243
1000, 0.000228, 0.039156, 0.000252
1000, 0.000313, 0.046582, 0.000302
1000, 0.000237, 0.049172, 0.000244
10000, 0.003123, 0.092529, 0.002884
10000, 0.002805, 0.084511, 0.002789
10000, 0.002695, 0.094100, 0.003332
10000, 0.003289, 0.111549, 0.002990
10000, 0.002888, 0.070820, 0.002967
100000, 0.029425, 0.097136, 0.031772
100000, 0.025648, 0.084964, 0.034345
100000, 0.012961, 0.081256, 0.020088
100000, 0.033713, 0.115837, 0.020839
100000, 0.027990, 0.101645, 0.033881
1000000, 0.131794, 0.161039, 0.121372
1000000, 0.138421, 0.166698, 0.121612
1000000, 0.144961, 0.164376, 0.123286
1000000, 0.143518, 0.190428, 0.122643
1000000, 0.144491, 0.159120, 0.132434
