Size, Type, Time
100, "Sequential", 0.000018
100, "Parallel", 0.012145
100, "Built-in", 0.000021
100, "Sequential", 0.000019
100, "Parallel", 0.012331
100, "Built-in", 0.000021
100, "Sequential", 0.000018
100, "Parallel", 0.011518
100, "Built-in", 0.000019
100, "Sequential", 0.000020
100, "Parallel", 0.013219
100, "Built-in", 0.000022
100, "Sequential", 0.000018
100, "Parallel", 0.010905
100, "Built-in", 0.000019
1000, "Sequential", 0.000249
1000, "Parallel", 0.053670
1000, "Built-in", 0.000279
1000, "Sequential", 0.000251
1000, "Parallel", 0.052894
1000, "Built-in", 0.000243
1000, "Sequential", 0.000228
1000, "Parallel", 0.039156
1000, "Built-in", 0.000252
1000, "Sequential", 0.000313
1000, "Parallel", 0.046582
1000, "Built-in", 0.000302
1000, "Sequential", 0.000237
1000, "Parallel", 0.049172
1000, "Built-in", 0.000244
10000, "Sequential", 0.003123
10000, "Parallel", 0.092529
10000, "Built-in", 0.002884
10000, "Sequential", 0.002805
10000, "Parallel", 0.084511
10000, "Built-in", 0.002789
10000, "Sequential", 0.002695
10000, "Parallel", 0.094100
10000, "Built-in", 0.003332
10000, "Sequential", 0.003289
10000, "Parallel", 0.111549
10000, "Built-in", 0.002990
10000, "Sequential", 0.002888
10000, "Parallel", 0.070820
10000, "Built-in", 0.002967
100000, "Sequential", 0.029425
100000, "Parallel", 0.097136
100000, "Built-in", 0.031772
100000, "Sequential", 0.025648
100000, "Parallel", 0.084964
100000, "Built-in", 0.034345
100000, "Sequential", 0.012961
100000, "Parallel", 0.081256
100000, "Built-in", 0.020088
100000, "Sequential", 0.033713
100000, "Parallel", 0.115837
100000, "Built-in", 0.020839
100000, "Sequential", 0.027990
100000, "Parallel", 0.101645
100000, "Built-in", 0.033881
1000000, "Sequential", 0.131794
1000000, "Parallel", 0.161039
1000000, "Built-in", 0.121372
1000000, "Sequential", 0.138421
1000000, "Parallel", 0.166698
1000000, "Built-in", 0.121612
1000000, "Sequential", 0.144961
1000000, "Parallel", 0.164376
1000000, "Built-in", 0.123286
1000000, "Sequential", 0.143518
1000000, "Parallel", 0.190428
1000000, "Built-in", 0.122643
1000000, "Sequential", 0.144491
1000000, "Parallel", 0.159120
1000000, "Built-in", 0.132434
