Size, Type, Time
100, "Sequential", 0.000006
100, "Parallel", 0.003873
100, "Built-in", 0.000006
100, "Sequential", 0.000007
100, "Parallel", 0.004316
100, "Built-in", 0.000008
100, "Sequential", 0.000008
100, "Parallel", 0.003750
100, "Built-in", 0.000007
100, "Sequential", 0.000008
100, "Parallel", 0.003939
100, "Built-in", 0.000008
100, "Sequential", 0.000006
100, "Parallel", 0.003527
100, "Built-in", 0.000006
1000, "Sequential", 0.000099
1000, "Parallel", 0.012728
1000, "Built-in", 0.000106
1000, "Sequential", 0.000071
1000, "Parallel", 0.012605
1000, "Built-in", 0.000067
1000, "Sequential", 0.000069
1000, "Parallel", 0.013429
1000, "Built-in", 0.000067
1000, "Sequential", 0.000096
1000, "Parallel", 0.014391
1000, "Built-in", 0.000067
1000, "Sequential", 0.000069
1000, "Parallel", 0.012178
1000, "Built-in", 0.000066
10000, "Sequential", 0.001135
10000, "Parallel", 0.022709
10000, "Built-in", 0.000890
10000, "Sequential", 0.001139
10000, "Parallel", 0.022610
10000, "Built-in", 0.001138
10000, "Sequential", 0.000890
10000, "Parallel", 0.021681
10000, "Built-in", 0.000857
10000, "Sequential", 0.000974
10000, "Parallel", 0.024755
10000, "Built-in", 0.000851
10000, "Sequential", 0.000878
10000, "Parallel", 0.022765
10000, "Built-in", 0.000856
100000, "Sequential", 0.010600
100000, "Parallel", 0.037466
100000, "Built-in", 0.010669
100000, "Sequential", 0.010537
100000, "Parallel", 0.029058
100000, "Built-in", 0.011492
100000, "Sequential", 0.010620
100000, "Parallel", 0.027245
100000, "Built-in", 0.010593
100000, "Sequential", 0.010526
100000, "Parallel", 0.028893
100000, "Built-in", 0.010859
100000, "Sequential", 0.015322
100000, "Parallel", 0.031726
100000, "Built-in", 0.010849
1000000, "Sequential", 0.117020
1000000, "Parallel", 0.159167
1000000, "Built-in", 0.120473
1000000, "Sequential", 0.117296
1000000, "Parallel", 0.163009
1000000, "Built-in", 0.121296
1000000, "Sequential", 0.116363
1000000, "Parallel", 0.159271
1000000, "Built-in", 0.123091
1000000, "Sequential", 0.115814
1000000, "Parallel", 0.157018
1000000, "Built-in", 0.120608
1000000, "Sequential", 0.116156
1000000, "Parallel", 0.158582
1000000, "Built-in", 0.131216
